# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416336798;sda;286.50;4.80;68759.69;240.01;12.07;42.12;0.30;8.64
axle;60;1416336858;sda;2.66;0.00;464.27;174.64;0.01;2.92;0.28;0.07
axle;60;1416336918;sda;3.35;1.07;575.16;172.18;0.01;3.70;0.38;0.13
axle;60;1416336978;sda;3.64;1.20;642.58;176.73;0.02;4.46;0.20;0.07
axle;60;1416337038;sda;5.29;17.54;847.40;163.54;0.03;5.13;0.25;0.13
axle;60;1416337098;sda;1.02;0.00;60.94;59.54;0.00;0.00;0.00;0.00
axle;60;1416337158;sda;1.45;0.00;246.78;170.02;0.00;1.24;0.18;0.03
axle;60;1416337218;sda;1.22;0.40;160.67;132.16;0.00;0.82;0.16;0.02
axle;60;1416337278;sda;0.78;0.00;66.39;84.77;0.00;0.09;0.09;0.01
axle;60;1416337338;sda;0.62;0.00;43.87;71.14;0.00;0.11;0.11;0.01
