# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416337424;sda;37.61;1.20;8548.45;227.31;1.48;39.23;0.30;1.13
axle;60;1416337484;sda;3.11;0.13;491.73;158.16;0.01;3.08;0.21;0.07
axle;60;1416337544;sda;3.66;0.66;574.31;157.31;0.02;5.64;0.29;0.11
axle;60;1416337604;sda;3.40;0.67;582.81;171.41;0.02;4.63;0.24;0.08
axle;60;1416337664;sda;4.10;1.07;598.80;146.21;0.02;3.84;0.20;0.08
axle;60;1416337724;sda;2.70;2.13;132.33;49.78;0.00;1.75;0.17;0.05
axle;60;1416337784;sda;1.48;0.00;62.80;42.34;0.00;0.94;0.04;0.01
axle;60;1416337844;sda;0.82;0.13;64.13;78.69;0.00;0.33;0.08;0.01
axle;60;1416337904;sda;1.65;0.00;75.61;45.82;0.00;0.28;0.20;0.03
