# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416338084;-67730.04;2.29;37090.89
axle;60;1416338144;6688.52;0.60;1826.70
axle;60;1416338204;-5702.01;0.40;-165.64
axle;60;1416338264;-4651.26;0.53;946.53
axle;60;1416338324;5270.81;-9.77;-20400.00
axle;60;1416338384;21420.24;0.47;758.56
axle;60;1416338444;-12437.00;0.50;-186.66
axle;60;1416338504;2191.30;0.52;239.14
axle;60;1416338564;6885.13;0.48;3098.23
axle;60;1416338624;-1477.52;0.43;-2070.42
axle;60;1416338684;6405.62;0.52;-666.89
axle;60;1416338744;-17475.54;0.37;64.22
axle;60;1416338804;14432.48;0.47;170.77
axle;60;1416338864;-511.48;0.57;181.30
axle;60;1416338924;20620.82;0.42;80.05
axle;60;1416338984;4870.55;0.35;80.22
axle;60;1416339044;-204.65;0.33;8.60
axle;60;1416339104;192.01;0.25;8.09
axle;60;1416339164;18.64;0.20;11.30
axle;60;1416339224;-14.55;0.22;7.22
axle;60;1416339284;-15.92;0.20;6.15
axle;60;1416339344;-1121.87;0.18;7.22
axle;60;1416339404;1104.84;0.22;10.23
axle;60;1416339464;-83.96;0.22;13.09
