# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416338084;3285500;261238924;98.76;67592;50883344;214527968;78.61
axle;60;1416338144;4886732;259637692;98.15;67736;51320656;212579724;77.89
axle;60;1416338204;3521900;261002524;98.67;67832;51281008;213865540;78.36
axle;60;1416338264;2408016;262116408;99.09;67960;51507684;214848148;78.72
axle;60;1416338324;3672168;260852256;98.61;65616;46614948;218415288;80.03
axle;60;1416338384;8799316;255725108;96.67;65728;46796516;213132148;78.10
axle;60;1416338444;5816924;258707500;97.80;65848;46751756;216325612;79.27
axle;60;1416338504;6341608;258182816;97.60;65972;46809016;215651020;79.02
axle;60;1416338564;7991560;256532864;96.98;66088;47551476;213272768;78.15
axle;60;1416338624;7637664;256886760;97.11;66192;47055568;214060532;78.44
axle;60;1416338684;9173220;255351204;96.53;66316;46895700;212745408;77.95
axle;60;1416338744;4980488;259543936;98.12;66404;46911108;216885980;79.47
axle;60;1416338804;8442552;256081872;96.81;66516;46952072;213589892;78.26
axle;60;1416338864;8320104;256204320;96.85;66652;46995476;213760848;78.33
axle;60;1416338924;13257552;251266872;94.99;66752;47014644;208640164;76.45
axle;60;1416338984;14425900;250098524;94.55;66836;47033888;207491788;76.03
axle;60;1416339044;14376808;250147616;94.57;66916;47035952;207794880;76.14
axle;60;1416339104;14422836;250101588;94.55;66976;47037892;207492168;76.03
axle;60;1416339164;14427304;250097120;94.55;67024;47040600;207491800;76.03
axle;60;1416339224;14423816;250100608;94.55;67076;47042332;207491792;76.03
axle;60;1416339284;14420004;250104420;94.55;67124;47043804;207491796;76.03
axle;60;1416339344;14151564;250372860;94.65;67168;47045532;207794884;76.14
axle;60;1416339404;14416328;250108096;94.55;67220;47047984;207491788;76.03
axle;60;1416339464;14396284;250128140;94.56;67272;47051108;207491792;76.03
